Round,Pick,Team,,Player,Pos,Age,B/T,Pre-Draft Team,Slotted Bonus,Signed Bonus,+/- Diff
1,15,MIL,,Trent Grisham,CF,18,L / L,"HS
                    
                    
                    Richland HS (TX)","$2,692,800","$2,700,000","-$7,200"
1,16,NYY,,James Kaprielian,SP,21,R / R,"CO
                    
                    
                    California-Los Angeles","$2,543,200","$2,650,000","-$106,800"
1,17,CLE,,Brady Aiken,SP,18,/,"HS
                    
                    
                    IMG Academy (FL)","$2,393,600","$2,513,280","-$119,680"
1,18,SF,,Phil Bickford,SP,20,R / R,"CO
                    
                    
                    College of South Nevada","$2,333,700","$2,333,800",-$100
1,19,PIT,,Kevin Newman,SS,21,R / R,"CO
                    
                    
                    Arizona","$2,273,900","$2,175,000","$98,900"
1,20,OAK,,Richie Martin,SS,20,R / R,"CO
                    
                    
                    Florida","$2,214,100","$1,950,000","$264,100"
1,21,KC,,Ashe Russell,SP,18,/,"HS
                    
                    
                    Cathedral Catholic HS (IN)","$2,184,100","$2,190,200","-$6,100"
1,22,DET,,Beau Burrows,SP,18,R / R,"HS
                    
                    
                    Weatherford HS (TX)","$2,154,200","$2,154,200",
1,23,STL,,Nick Plummer,OF,18,/,"HS
                    
                    
                    Brother Rice HS (MI)","$2,124,300","$2,124,000",$300
1,24,LAD,,Walker Buehler,SP,20,R / R,"CO
                    
                    
                    Vanderbilt (TN)","$2,094,400","$1,780,000","$314,400"
1,25,BAL,,D.J. Stewart,LF,21,L / R,"CO
                    
                    
                    Florida State","$2,064,500","$2,064,500",
1,26,LAA,,Taylor Ward,3B,21,R / R,"CO
                    
                    
                    California State-Fresno","$2,034,500","$1,670,000","$364,500"
1,27,COL,,Mike Nikorak,SP,18,/,"HS
                    
                    
                    Stroudsburg HS (PA)","$2,004,600","$2,300,000","-$295,400"
1,28,ATL,,Michael Soroka,SP,17,R / R,"HS
                    
                    
                    Bishop Carroll HS (AB)","$1,974,700","$1,974,700",
1,29,TOR,,Jon Harris,SP,21,/,"CO
                    
                    
                    Missouri State","$1,944,800","$1,944,800",
1,30,NYY,,Kyle Holder,SS,21,L / R,"CO
                    
                    
                    San Diego (CA)","$1,914,900","$1,800,000","$114,900"
1,31,SF,,Chris Shaw,1B,21,L / R,"CO
                    
                    
                    Boston College (MA)","$1,884,900","$1,400,000","$484,900"
1,32,PIT,,Ke'Bryan Hayes,3B,18,R / R,"HS
                    
                    
                    Concordia Lutheran HS (TX)","$1,855,000","$1,855,000",
1,33,KC,,Nolan Watson,SP,18,/,"HS
                    
                    
                    Lawrence North HS (IN)","$1,825,100","$1,825,200",-$100
1,34,DET,,Christin Stewart,LF,21,L / R,"CO
                    
                    
                    Tennessee","$1,795,200","$1,795,100",$100
1,35,LAD,,Kyle Funkhouser,SP,21,R / R,Louisville (KY),"$1,756,200",-,
1,36,BAL,,Ryan Mountcastle,SS,18,R / R,"HS
                    
                    
                    Hagerty HS (FL)","$1,711,900","$1,300,000","$411,900"
1,37,HOU,,Daz Cameron,OF,18,R / R,"HS
                    
                    
                    Eagle's Landing Christian Academy (...","$1,668,700","$4,000,000","-$2,331,300"
1,38,COL,,Tyler Nevin,3B,18,R / R,"HS
                    
                    
                    Poway HS (CA)","$1,626,600","$2,000,000","-$373,400"
1,39,STL,,Jake Woodford,P,18,R / R,"HS
                    
                    
                    Plant HS (FL)","$1,585,500","$1,800,000","-$214,500"
1,40,MIL,,Nathan Kirby,P,21,/,"CO
                    
                    
                    Virginia","$1,545,400","$1,250,000","$295,400"
1,41,ATL,,Austin Riley,3B,18,R / R,"HS
                    
                    
                    DeSoto Central HS (MS)","$1,506,400","$1,600,000","-$93,600"
1,42,CLE,,Triston McKenzie,SP,17,R / R,"HS
                    
                    
                    Royal Palm Beach HS (FL)","$1,468,500","$2,302,500","-$834,000"
2,43,ARI,,Alex Young,RP,21,L / L,"CO
                    
                    
                    Texas Christian","$1,431,400","$1,431,400",
